Status,"Onsite 
Year","Completion
Year","Housing 
Association",Scheme Name,Location ,Units,Type,"Need 
Group",StrategicGroup,HE Region,Local Government District ,"Parliamentary 
Constituency ",Lat,Long,PlanningRef,
Completed 22/23,2017/18,2022/23,Clanmil,"Apartments 1 & 2, 9 Eia Street",Belfast,2,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61612192,-5.939746925,,
Completed 22/23,2017/18,2022/23,Clanmil,"Apartments 1-8, 434 Antrim Road",Belfast,7,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.6259229,-5.938302661,,
Completed 22/23,2017/18,2022/23,Clanmil,19 Jamaica Road,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61543471,-5.95424116,,
Completed 22/23,2017/18,2022/23,Clanmil,58 Newington Avenue,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61523731,-5.934666477,,
Completed 22/23,2017/18,2022/23,Clanmil,44 Newington Avenue,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.6155177,-5.93445493,,
Completed 22/23,2017/18,2022/23,Clanmil,12 Newington Street,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61614836,-5.934678799,,
Completed 22/23,2017/18,2022/23,Clanmil,15 Pineview Gardens,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.65668088,-5.935349378,,
Completed 22/23,2017/18,2022/23,Clanmil,239 Alliance Avenue,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61773881,-5.965491381,,
Completed 22/23,2017/18,2022/23,Clanmil,37 Torrens Avenue,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61733823,-5.952185644,,
Completed 22/23,2018/19,2022/23,Apex,Beragh Hill Road (Skeoge Link H1B Lands),Londonderry,229,New Build,General Needs,Urban,North,Derry & Strabane ,Foyle,55.03884333,-7.335188898,,
Completed 22/23,2018/19,2022/23,Apex,Beragh Hill Road (Skeoge Link H1B Lands),Londonderry,20,New Build,Active Elderly,Urban,North,Derry & Strabane ,Foyle,55.03912249,-7.330190799,,
Completed 22/23,2018/19,2022/23,Apex,Beragh Hill Road (Skeoge Link H1B Lands),Londonderry,12,New Build,Wheelchair Standard,Urban,North,Derry & Strabane ,Foyle,55.03724069,-7.333637142,,
Completed 22/23,2018/19,2022/23,Arbour ,Causeway End Road,Lisburn,14,New Build,General Needs,Urban,Belfast,Lisburn & Castlereagh,Lagan Valley,54.51477349,-6.075622684,https://planningregister.planningsystemni.gov.uk/application/303346,
Completed 22/23,2018/19,2022/23,Choice,"Belvedere, Upper Dunmurry Lane",Belfast,43,New Build,General Needs,Urban,Belfast,Belfast,West Belfast,54.56225541,-6.0189252,https://planningregister.planningsystemni.gov.uk/application/483916,
Completed 22/23,2018/19,2022/23,Choice,"Belvedere, Upper Dunmurry Lane",Belfast,8,New Build,Active Elderly,Urban,Belfast,Belfast,West Belfast,54.56170427,-6.018370191,https://planningregister.planningsystemni.gov.uk/application/483916,
