LGD,Housing Need Assessment Area,Total 5 Year Need Projection,Lat,Long
Antrim and Newtownabbey,Rathcoole,51,54.65985879,-5.913842679
Antrim and Newtownabbey,Rushpark,38,54.66458575,-5.911341288
Antrim and Newtownabbey,"Whiteabbey (Abbeyville, Glenville, Abbeyglen)*",79,54.67267657,-5.901568247
Antrim and Newtownabbey,Longlands/Bawnmore/Old Mill,68,54.65555329,-5.927756272
Antrim and Newtownabbey,Hightown,18,54.6666886,-5.969662536
Antrim and Newtownabbey,Felden,52,54.65343776,-5.925770021
Antrim and Newtownabbey,Ballyduff,33,54.68797486,-5.929621393
Antrim and Newtownabbey,"Central Glengormley (Glenvarna, Queens Park/Avenue, Glengormley Central)*",153,54.67728793,-5.960155422
Antrim and Newtownabbey,Monkstown,45,54.68730871,-5.894878727
Antrim and Newtownabbey,Mossley,29,54.69181912,-5.936727453
Antrim and Newtownabbey,Antrim Town,264,54.71570473,-6.209640254
Antrim and Newtownabbey,Crumlin,101,54.62042944,-6.21594705
Antrim and Newtownabbey,Randalstown,52,54.74982165,-6.320173157
Antrim and Newtownabbey,Parkgate/Templepatrick,35,54.70109363,-6.092338075
Antrim and Newtownabbey,Toomebridge,14,54.75378839,-6.463115121
Antrim and Newtownabbey,Ballyclare,64,54.75319587,-6.001062103
Antrim and Newtownabbey,Doagh/Kelburn Park,10,54.73916709,-6.044016318
Ards and North Down,Newtownards Town,211,54.59216863,-5.692230219
Ards and North Down,Bangor Urban,371,54.6539548,-5.673691763
Ards and North Down,Holywood,179,54.63332464,-5.842546068
Ards and North Down,Comber,172,54.55011528,-5.745077595
Ards and North Down,Donaghadee,54,54.64221459,-5.537364421
Ards and North Down,Groomsport,39,54.67425899,-5.615100632
Ards and North Down,Ballygowan,21,54.50349811,-5.79428671
Ards and North Down,Portaferry,17,54.38142359,-5.546865418
Ards and North Down,Ballywalter,13,54.54221221,-5.485207411
Ards and North Down,Crawfordsburn,12,54.65862917,-5.729013614
Ards and North Down,Millisle,12,54.60705603,-5.529549183
Ards and North Down,Ballyhalbert,1,54.49549866,-5.460963176
Ards and North Down,Carrowdore,1,54.57430098,-5.556608021
Ards and North Down,Cloughey,1,54.4291725,-5.480313192
Ards and North Down,Greyabbey,1,54.53537944,-5.560191349
Ards and North Down,Helen's Bay,1,54.67075211,-5.747105017
Ards and North Down,Killinchy,1,54.47216661,-5.675811984
Ards and North Down,Kircubbin,1,54.48697938,-5.533132867
Ards and North Down,Loughries,1,54.57981348,-5.642808006
Ards and North Down,Portavogie,1,54.46208301,-5.44688009
"Armagh City, Banbridge and Craigavon",Aghagallon,9,54.50812691,-6.296233955
"Armagh City, Banbridge and Craigavon",Annaclone,2,54.30058602,-6.19580888
"Armagh City, Banbridge and Craigavon",Armagh 1,117,54.34710046,-6.653507999
"Armagh City, Banbridge and Craigavon",Armagh 2,42,54.34720209,-6.640838201
"Armagh City, Banbridge and Craigavon",Banbridge Town,170,54.34978677,-6.270580707
"Armagh City, Banbridge and Craigavon",Bleary,1,54.42262039,-6.349248934
"Armagh City, Banbridge and Craigavon",Central Craigavon,90,54.43770161,-6.413886475
"Armagh City, Banbridge and Craigavon",Charlemont/Blackwatertown/Car rickaness/Donnelly Hill,2,54.44180333,-6.685769913
"Armagh City, Banbridge and Craigavon","Clady, Corran Ballymacnab",3,54.2891478,-6.634358042
"Armagh City, Banbridge and Craigavon",Derrymacash/Derrytrasna/ Kinnego,18,54.47842542,-6.403796646
"Armagh City, Banbridge and Craigavon",Dollingstown,1,54.46202374,-6.292777296
